record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,units_sold
1,17/01/11,8091,216418,99.0375,111.8625,0,0,20
2,17/01/11,8091,216419,99.0375,99.0375,0,0,28
3,17/01/11,8091,216425,133.95,133.95,0,0,19
4,17/01/11,8091,216233,133.95,133.95,0,0,44
5,17/01/11,8091,217390,141.075,141.075,0,0,52
9,17/01/11,8091,219009,227.2875,227.2875,0,0,18
10,17/01/11,8091,219029,327.0375,327.0375,0,0,47
13,17/01/11,8091,223245,210.9,210.9,0,0,50
14,17/01/11,8091,223153,190.2375,234.4125,1,1,82
17,17/01/11,8095,216418,99.0375,99.0375,0,0,99
18,17/01/11,8095,216419,97.6125,97.6125,0,0,120
19,17/01/11,8095,300021,98.325,98.325,0,0,40
22,17/01/11,8095,216425,133.2375,133.2375,0,0,68
23,17/01/11,8095,216233,133.95,133.95,0,0,87
24,17/01/11,8095,217390,139.65,139.65,0,0,186
27,17/01/11,8095,219844,236.55,280.0125,0,0,54
28,17/01/11,8095,219009,214.4625,214.4625,0,0,74
29,17/01/11,8095,219029,266.475,296.4,0,0,102
30,17/01/11,8095,222087,173.85,192.375,1,0,214
31,17/01/11,8095,320485,205.9125,205.9125,0,0,28
32,17/01/11,8095,378934,205.9125,205.9125,0,0,7
33,17/01/11,8095,222765,248.6625,248.6625,0,0,48
34,17/01/11,8095,223245,200.925,200.925,0,0,78
35,17/01/11,8095,223153,190.2375,240.825,1,0,57
37,17/01/11,8095,245387,427.5,448.1625,1,1,50
38,17/01/11,8095,245338,429.6375,458.1375,1,0,62
39,17/01/11,8095,547934,177.4125,177.4125,0,0,22
42,17/01/11,8094,216418,87.6375,87.6375,0,1,109
43,17/01/11,8094,216419,88.35,88.35,0,1,133
44,17/01/11,8094,300021,85.5,85.5,0,0,11
45,17/01/11,8094,300291,128.25,180.975,0,0,9
47,17/01/11,8094,216425,127.5375,127.5375,0,0,19
48,17/01/11,8094,216233,123.975,123.975,0,0,33
49,17/01/11,8094,217390,139.65,164.5875,0,0,49
50,17/01/11,8094,217217,235.8375,235.8375,0,0,32
51,17/01/11,8094,217777,234.4125,234.4125,0,0,47
52,17/01/11,8094,219844,235.125,235.125,0,0,27
53,17/01/11,8094,219009,227.2875,227.2875,0,0,69
54,17/01/11,8094,219029,312.7875,312.7875,0,0,49
55,17/01/11,8094,222087,210.9,210.9,0,0,60
56,17/01/11,8094,320485,177.4125,177.4125,0,0,27
57,17/01/11,8094,378934,177.4125,177.4125,0,0,33
58,17/01/11,8094,222765,240.825,240.825,0,0,18
59,17/01/11,8094,223245,213.0375,213.0375,0,0,72
60,17/01/11,8094,223153,190.95,213.0375,1,0,81
61,17/01/11,8094,398721,426.7875,448.1625,1,0,11
62,17/01/11,8094,245387,426.7875,448.875,1,0,13
63,17/01/11,8094,245338,426.7875,448.1625,1,0,28
65,17/01/11,8094,547934,170.2875,170.2875,0,0,16
66,17/01/11,8094,679023,178.125,205.9125,0,0,10
67,17/01/11,8094,546789,178.125,200.2125,0,0,20
68,17/01/11,8063,216418,82.65,82.65,0,1,48
69,17/01/11,8063,216419,84.075,84.075,0,1,62
72,17/01/11,8063,216233,128.25,128.25,0,0,28
73,17/01/11,8063,217390,143.2125,166.725,0,0,23
74,17/01/11,8063,217217,231.5625,231.5625,0,0,6
75,17/01/11,8063,217777,232.9875,232.9875,0,0,14
77,17/01/11,8063,219009,227.2875,227.2875,0,0,81
78,17/01/11,8063,219029,295.6875,295.6875,0,0,22
79,17/01/11,8063,222087,216.6,216.6,0,0,45
80,17/01/11,8063,320485,177.4125,177.4125,0,0,9
81,17/01/11,8063,378934,177.4125,177.4125,0,0,11
83,17/01/11,8063,222765,205.2,205.2,0,0,30
84,17/01/11,8063,223245,205.9125,205.9125,0,0,54
85,17/01/11,8063,223153,190.2375,212.325,1,0,55
87,17/01/11,8063,245387,426.7875,448.875,1,0,29
88,17/01/11,8063,245338,426.7875,448.1625,1,0,9
90,17/01/11,8063,547934,170.2875,170.2875,0,0,3
91,17/01/11,8063,679023,183.1125,183.1125,0,0,8
92,17/01/11,8063,546789,178.125,205.9125,0,0,10
93,17/01/11,8023,216418,98.325,88.35,0,1,233
94,17/01/11,8023,216419,98.325,88.35,0,1,256
95,17/01/11,8023,300021,98.325,98.325,0,0,52
96,17/01/11,8023,300291,184.5375,321.3375,0,0,18
98,17/01/11,8023,216425,133.95,133.95,0,0,58
99,17/01/11,8023,216233,134.6625,134.6625,0,0,114
100,17/01/11,8023,217390,140.3625,140.3625,0,0,226
104,17/01/11,8023,219009,205.2,205.2,0,0,189
105,17/01/11,8023,219029,310.65,310.65,0,0,121
106,17/01/11,8023,222087,169.575,220.1625,1,0,391
107,17/01/11,8023,320485,205.9125,205.9125,0,0,60
108,17/01/11,8023,378934,205.9125,205.9125,0,0,26
110,17/01/11,8023,222765,241.5375,241.5375,0,0,155
111,17/01/11,8023,223245,192.375,192.375,0,0,91
112,17/01/11,8023,223153,190.2375,236.55,1,0,59
113,17/01/11,8023,398721,431.775,448.1625,1,0,32
114,17/01/11,8023,245387,426.7875,448.1625,1,0,51
115,17/01/11,8023,245338,428.2125,448.1625,1,0,112
116,17/01/11,8023,600934,460.275,460.275,0,0,32
117,17/01/11,8023,547934,177.4125,177.4125,0,0,54
119,17/01/11,8023,545621,355.5375,355.5375,0,0,14
120,17/01/11,8058,216418,98.325,98.325,0,0,104
121,17/01/11,8058,216419,98.325,98.325,0,0,107
123,17/01/11,8058,216425,133.2375,133.2375,0,0,25
124,17/01/11,8058,216233,133.95,133.95,0,0,43
125,17/01/11,8058,217390,139.65,116.1375,0,1,82
128,17/01/11,8058,219844,236.55,280.0125,0,1,84
129,17/01/11,8058,219009,208.05,208.05,0,0,51
130,17/01/11,8058,219029,288.5625,288.5625,0,0,24
131,17/01/11,8058,222087,170.2875,210.9,1,0,173
132,17/01/11,8058,320485,205.9125,205.9125,0,0,22
133,17/01/11,8058,378934,205.9125,205.9125,0,0,12
134,17/01/11,8058,222765,241.5375,241.5375,0,0,50
135,17/01/11,8058,223245,213.0375,213.0375,0,0,42
138,17/01/11,8058,245387,426.7875,448.1625,1,1,31
139,17/01/11,8058,245338,426.7875,448.1625,1,1,41
143,17/01/11,8222,216418,97.6125,97.6125,0,0,101
144,17/01/11,8222,216419,97.6125,97.6125,0,0,76
145,17/01/11,8222,300021,98.325,98.325,0,0,52
146,17/01/11,8222,300291,184.5375,184.5375,0,0,8
148,17/01/11,8222,216425,131.8125,131.8125,0,0,74
149,17/01/11,8222,216233,134.6625,134.6625,0,0,50
150,17/01/11,8222,217390,138.9375,138.9375,0,0,148
152,17/01/11,8222,219009,205.9125,205.9125,0,0,77
153,17/01/11,8222,219029,303.525,303.525,0,0,43
154,17/01/11,8222,222087,183.1125,205.2,1,0,332
155,17/01/11,8222,320485,205.9125,205.9125,0,0,31
156,17/01/11,8222,378934,205.9125,205.9125,0,0,13
158,17/01/11,8222,222765,227.2875,227.2875,0,0,80
159,17/01/11,8222,223245,200.2125,200.2125,0,0,77
161,17/01/11,8222,398721,426.7875,448.1625,1,0,23
162,17/01/11,8222,245387,426.7875,448.1625,1,1,51
163,17/01/11,8222,245338,428.925,448.1625,1,1,65
165,17/01/11,8222,547934,177.4125,177.4125,0,0,19
168,17/01/11,8121,216418,84.075,84.075,0,0,61
172,17/01/11,8121,216425,123.2625,123.2625,0,0,25
173,17/01/11,8121,216233,123.2625,123.2625,0,0,46
174,17/01/11,8121,217390,136.8,170.2875,0,0,18
175,17/01/11,8121,217217,230.85,230.85,0,0,33
176,17/01/11,8121,217777,231.5625,231.5625,0,0,23
177,17/01/11,8121,219844,234.4125,234.4125,0,0,34
178,17/01/11,8121,219009,227.2875,227.2875,0,0,53
179,17/01/11,8121,219029,295.6875,295.6875,0,0,20
180,17/01/11,8121,222087,199.5,223.725,0,0,55
181,17/01/11,8121,320485,177.4125,177.4125,0,0,26
182,17/01/11,8121,378934,177.4125,177.4125,0,0,13
184,17/01/11,8121,222765,205.2,205.2,0,0,22
185,17/01/11,8121,223245,205.9125,205.9125,0,0,44
186,17/01/11,8121,223153,190.95,212.325,1,0,60
187,17/01/11,8121,398721,426.7875,448.1625,1,1,17
188,17/01/11,8121,245387,428.2125,448.1625,1,1,30
189,17/01/11,8121,245338,426.7875,448.1625,1,1,26
190,17/01/11,8218,216418,83.3625,82.65,0,1,49
191,17/01/11,8218,216419,82.65,71.25,0,1,46
193,17/01/11,8218,216425,126.1125,126.1125,0,0,18
194,17/01/11,8218,216233,128.25,128.25,0,0,18
195,17/01/11,8218,217390,111.8625,167.4375,0,0,17
196,17/01/11,8218,217217,237.975,237.975,0,0,3
199,17/01/11,8218,219009,217.3125,217.3125,0,0,31
200,17/01/11,8218,219029,264.3375,295.6875,0,1,30
201,17/01/11,8218,222087,191.6625,223.725,0,0,10
202,17/01/11,8218,320485,177.4125,177.4125,0,0,14
